"","name","longitude","latitude"
"1","Alca torda",-70.14358,41.46258
"2","Alca torda",-70.23307,41.36538
"3","Alca torda",-70.08965,41.52388
"4","Alca torda",-70.14325,41.44034
"5","Alca torda",-70.06468,41.41876
"6","Alca torda",-70.2542,41.37793
"7","Alca torda",-70.25275,41.34598
"8","Alca torda",-70.36251,41.38657
"9","Alca torda",-70.1214,41.4492
"10","Alca torda",-70.06552,41.43224
"11","Alca torda",-70.17276,41.37242
"12","Alca torda",-70.062,41.51992
"13","Alca torda",-70.23116,41.38988
"14","Alca torda",-70.31562,41.47966
"15","Alca torda",-70.38229,41.40362
"16","Alca torda",-70.3628,41.37823
"17","Alca torda",-70.36317,41.4065
"18","Alca torda",-70.4186,41.3736
"19","Alca torda",-70.30273,41.3769
"20","Alca torda",-70.08701,41.55621
"21","Alca torda",-70.3829,41.44776
"22","Alca torda",-70.28072,41.40704
"23","Alca torda",-70.14055,41.49061
"24","Alca torda",-70.38254,41.37232
"25","Alca torda",-70.41705,41.39133
"26","Alca torda",-70.36243,41.39101
"27","Alca torda",-70.41633,41.40929
"28","Alca torda",-70.06332,41.40009
"29","Alca torda",-70.30768,41.39479
"30","Alca torda",-70.11916,41.41536
"31","Alca torda",-70.25279,41.35231
"32","Alca torda",-70.06523,41.35839
"33","Alca torda",-70.36268,41.38344
"34","Alca torda",-70.38947,41.52641
"35","Alca torda",-70.23062,41.34888
"36","Alca torda",-70.11997,41.39872
"37","Alca torda",-70.11976,41.40996
"38","Alca torda",-70.25383,41.38361
"39","Alca torda",-70.08802,41.41211
"40","Alca torda",-70.06492,41.44024
"41","Alca torda",-70.38286,41.4462
"42","Alca torda",-70.11556,41.50084
"43","Alca torda",-70.38687,41.47635
"44","Alca torda",-70.09036,41.51344
"45","Alca torda",-70.08807,41.54082
"46","Alca torda",-70.06388,41.45428
"47","Alca torda",-70.41583,41.42429
"48","Alca torda",-70.22315,41.4979
"49","Alca torda",-70.08722,41.53771
"50","Alca torda",-70.08593,41.36301
"51","Alca torda",-70.36318,41.41086
"52","Alca torda",-70.22428,41.57388
"53","Alca torda",-70.08466,41.44483
"54","Alca torda",-70.38435,41.41893
"55","Alca torda",-70.08968,41.41082
"56","Alca torda",-70.06502,41.4392
"57","Alca torda",-70.22497,41.44752
"58","Alca torda",-70.36256,41.38572
"59","Alca torda",-70.38689,41.54138
"60","Alca torda",-70.38686,41.46314
"61","Alca torda",-70.11682,41.42746
"62","Alca torda",-70.31207,41.5285
"63","Alca torda",-70.06327,41.47301
"64","Alca torda",-70.05986,41.60499
"65","Alca torda",-70.06452,41.41409
"66","Alca torda",-70.08508,41.45043
"67","Alca torda",-70.22329,41.40364
"68","Alca torda",-70.3627,41.39587
"69","Alca torda",-70.2225,41.51965
"70","Alca torda",-70.11687,41.41186
"71","Alca torda",-70.38588,41.36628
"72","Alca torda",-70.23269,41.3729
"73","Alca torda",-70.22363,41.54751
"74","Alca torda",-70.08817,41.40646
"75","Alca torda",-70.09024,41.51628
"76","Alca torda",-70.35948,41.41782
"77","Alca torda",-70.06313,41.47642
"78","Alca torda",-70.17247,41.46556
"79","Alca torda",-70.22418,41.57544
"80","Alca torda",-70.33323,41.55082
"81","Alca torda",-70.38181,41.39415
"82","Alca torda",-70.08836,41.40828
"83","Alca torda",-70.33263,41.41966
"84","Alca torda",-70.23403,41.35047
"85","Alca torda",-70.41376,41.43693
"86","Alca torda",-70.08749,41.54603
"87","Alca torda",-70.25367,41.36009
"88","Alca torda",-70.38276,41.443
"89","Alca torda",-70.36299,41.37161
"90","Alca torda",-70.36288,41.37468
"91","Alca torda",-70.36273,41.38091
"92","Alca torda",-70.11888,41.42272
"93","Alca torda",-70.06071,41.59379
"94","Alca torda",-70.11536,41.51725
"95","Alca torda",-70.27766,41.40787
"96","Alca torda",-70.38198,41.40031
"97","Alca torda",-70.0865,41.52377
"98","Alca torda",-70.25274,41.34484
"99","Alca torda",-70.22412,41.57648
"100","Alca torda",-70.41389,41.49037
"101","Alca torda",-70.20568,41.50271
"102","Alca torda",-70.27635,41.48862
"103","Alca torda",-70.06473,41.41988
"104","Alca torda",-70.06399,41.4506
"105","Alca torda",-70.22352,41.364
"106","Alca torda",-70.28168,41.43527
"107","Alca torda",-70.26605,41.36986
"108","Alca torda",-70.27653,41.48055
"109","Alca torda",-70.38228,41.37758
"110","Alca torda",-70.38494,41.39299
"111","Alca torda",-70.2059,41.503
"112","Alca torda",-70.20604,41.50304
"113","Alca torda",-70.3632,41.40784
"114","Alca torda",-70.25276,41.34885
"115","Alca torda",-70.3629,41.39943
"116","Alca torda",-70.36241,41.38923
"117","Alca torda",-70.0646,41.4162
"118","Alca torda",-70.38271,41.44201
"119","Alca torda",-70.11923,41.42601
"120","Alca torda",-70.09036,41.46412
"121","Alca torda",-70.19748,41.50369
"122","Alca torda",-70.3818,41.3906
"123","Alca torda",-70.25308,41.5158
"124","Alca torda",-70.0834,41.33904
"125","Alca torda",-70.22442,41.57096
