"","name","longitude","latitude"
"1","Clangula hyemalis",-70.06124,41.59615
"2","Clangula hyemalis",-70.03233,41.57873
"3","Clangula hyemalis",-70.20181,41.45554
"4","Clangula hyemalis",-70.33128,41.39362
"5","Clangula hyemalis",-70.19409,41.55283
"6","Clangula hyemalis",-70.18929,41.47317
"7","Clangula hyemalis",-70.11484,41.56124
"8","Clangula hyemalis",-70.08846,41.36677
"9","Clangula hyemalis",-70.22598,41.49626
"10","Clangula hyemalis",-70.33728,41.36932
"11","Clangula hyemalis",-70.11696,41.58431
"12","Clangula hyemalis",-70.30948,41.36848
"13","Clangula hyemalis",-70.38201,41.45215
"14","Clangula hyemalis",-70.08752,41.54773
"15","Clangula hyemalis",-70.22104,41.35316
"16","Clangula hyemalis",-70.0871,41.55494
"17","Clangula hyemalis",-70.06284,41.57588
"18","Clangula hyemalis",-70.11553,41.53814
"19","Clangula hyemalis",-70.33272,41.45603
"20","Clangula hyemalis",-70.22852,41.38254
"21","Clangula hyemalis",-70.36162,41.49256
"22","Clangula hyemalis",-70.11761,41.37605
"23","Clangula hyemalis",-70.26715,41.38638
"24","Clangula hyemalis",-70.30948,41.37124
"25","Clangula hyemalis",-70.22608,41.51409
"26","Clangula hyemalis",-70.08507,41.43374
"27","Clangula hyemalis",-70.33473,41.4189
"28","Clangula hyemalis",-70.11694,41.51664
"29","Clangula hyemalis",-70.22504,41.42202
"30","Clangula hyemalis",-70.33108,41.34952
"31","Clangula hyemalis",-70.11642,41.46443
"32","Clangula hyemalis",-70.38854,41.55141
"33","Clangula hyemalis",-70.06743,41.52484
"34","Clangula hyemalis",-70.36167,41.34047
"35","Clangula hyemalis",-70.11649,41.53996
"36","Clangula hyemalis",-70.36183,41.47435
"37","Clangula hyemalis",-70.36176,41.34002
"38","Clangula hyemalis",-70.03296,41.49424
"39","Clangula hyemalis",-70.06768,41.51668
"40","Clangula hyemalis",-70.06452,41.4189
"41","Clangula hyemalis",-70.22344,41.53743
"42","Clangula hyemalis",-70.06232,41.50004
"43","Clangula hyemalis",-70.22506,41.55463
"44","Clangula hyemalis",-70.35902,41.45826
"45","Clangula hyemalis",-70.06376,41.45447
"46","Clangula hyemalis",-70.38216,41.43276
"47","Clangula hyemalis",-70.06761,41.51883
"48","Clangula hyemalis",-70.2258,41.50496
"49","Clangula hyemalis",-70.30286,41.40412
"50","Clangula hyemalis",-70.06286,41.5744
"51","Clangula hyemalis",-70.06157,41.53942
"52","Clangula hyemalis",-70.3816,41.46109
"53","Clangula hyemalis",-70.06137,41.58643
"54","Clangula hyemalis",-70.17042,41.57979
"55","Clangula hyemalis",-70.30901,41.38273
"56","Clangula hyemalis",-70.06785,41.5369
"57","Clangula hyemalis",-70.03294,41.56301
"58","Clangula hyemalis",-70.05996,41.6036
"59","Clangula hyemalis",-70.11648,41.58919
"60","Clangula hyemalis",-70.14716,41.58413
"61","Clangula hyemalis",-70.41573,41.41357
"62","Clangula hyemalis",-70.11684,41.51832
"63","Clangula hyemalis",-70.06516,41.37011
"64","Clangula hyemalis",-70.06281,41.57836
"65","Clangula hyemalis",-70.06114,41.58936
"66","Clangula hyemalis",-70.27798,41.51427
"67","Clangula hyemalis",-70.06765,41.51775
"68","Clangula hyemalis",-70.19871,41.37342
"69","Clangula hyemalis",-70.19576,41.52082
"70","Clangula hyemalis",-70.0858,41.4602
"71","Clangula hyemalis",-70.19937,41.36122
"72","Clangula hyemalis",-70.26512,41.3566
"73","Clangula hyemalis",-70.26765,41.34829
"74","Clangula hyemalis",-70.11651,41.56542
"75","Clangula hyemalis",-70.28326,41.36443
"76","Clangula hyemalis",-70.11628,41.48196
"77","Clangula hyemalis",-70.38283,41.44514
"78","Clangula hyemalis",-70.3346,41.48147
"79","Clangula hyemalis",-70.11476,41.53483
"80","Clangula hyemalis",-70.35961,41.5347
"81","Clangula hyemalis",-70.25343,41.50513
"82","Clangula hyemalis",-70.36071,41.33526
"83","Clangula hyemalis",-70.11438,41.59322
"84","Clangula hyemalis",-70.14298,41.54982
"85","Clangula hyemalis",-70.2296,41.43092
"86","Clangula hyemalis",-70.19913,41.36613
"87","Clangula hyemalis",-70.11537,41.51368
"88","Clangula hyemalis",-70.08449,41.58667
"89","Clangula hyemalis",-70.08647,41.52901
"90","Clangula hyemalis",-70.06758,41.51985
"91","Clangula hyemalis",-70.06159,41.57888
"92","Clangula hyemalis",-70.3814,41.47259
"93","Clangula hyemalis",-70.08748,41.55036
"94","Clangula hyemalis",-70.14334,41.56606
"95","Clangula hyemalis",-70.30445,41.44197
"96","Clangula hyemalis",-70.14148,41.46272
"97","Clangula hyemalis",-70.36136,41.35336
"98","Clangula hyemalis",-70.33447,41.49301
"99","Clangula hyemalis",-70.27753,41.41455
"100","Clangula hyemalis",-70.2827,41.37328
"101","Clangula hyemalis",-70.0607,41.5997
"102","Clangula hyemalis",-70.03285,41.5711
"103","Clangula hyemalis",-70.33044,41.34236
"104","Clangula hyemalis",-70.0667,41.47614
"105","Clangula hyemalis",-70.11546,41.53921
"106","Clangula hyemalis",-70.1169,41.41335
"107","Clangula hyemalis",-70.11839,41.38112
"108","Clangula hyemalis",-70.08768,41.54476
"109","Clangula hyemalis",-70.11582,41.55845
"110","Clangula hyemalis",-70.06812,41.50376
"111","Clangula hyemalis",-70.06584,41.38837
"112","Clangula hyemalis",-70.33418,41.51663
"113","Clangula hyemalis",-70.38332,41.43604
"114","Clangula hyemalis",-70.38664,41.53913
"115","Clangula hyemalis",-70.35931,41.44041
"116","Clangula hyemalis",-70.06148,41.56984
"117","Clangula hyemalis",-70.08679,41.55882
"118","Clangula hyemalis",-70.08528,41.39142
"119","Clangula hyemalis",-70.37989,41.35507
"120","Clangula hyemalis",-70.12007,41.46616
"121","Clangula hyemalis",-70.06116,41.55352
"122","Clangula hyemalis",-70.09012,41.45856
"123","Clangula hyemalis",-70.14326,41.45976
"124","Clangula hyemalis",-70.38166,41.40902
"125","Clangula hyemalis",-70.08973,41.41249
"126","Clangula hyemalis",-70.14084,41.40896
"127","Clangula hyemalis",-70.3326,41.45139
"128","Clangula hyemalis",-70.14269,41.55991
"129","Clangula hyemalis",-70.25132,41.45108
"130","Clangula hyemalis",-70.38148,41.47981
"131","Clangula hyemalis",-70.30388,41.44888
"132","Clangula hyemalis",-70.22516,41.54251
"133","Clangula hyemalis",-70.36314,41.42222
"134","Clangula hyemalis",-70.16872,41.48012
"135","Clangula hyemalis",-70.22598,41.48601
"136","Clangula hyemalis",-70.16864,41.4876
"137","Clangula hyemalis",-70.30788,41.3468
"138","Clangula hyemalis",-70.2252,41.42004
"139","Clangula hyemalis",-70.30911,41.38011
"140","Clangula hyemalis",-70.11638,41.5251
"141","Clangula hyemalis",-70.25287,41.47631
"142","Clangula hyemalis",-70.33808,41.35064
"143","Clangula hyemalis",-70.384,41.4767
"144","Clangula hyemalis",-70.08907,41.53109
"145","Clangula hyemalis",-70.22687,41.48498
"146","Clangula hyemalis",-70.11568,41.35888
"147","Clangula hyemalis",-70.36456,41.40047
"148","Clangula hyemalis",-70.08698,41.55984
"149","Clangula hyemalis",-70.30772,41.39868
"150","Clangula hyemalis",-70.06717,41.54347
"151","Clangula hyemalis",-70.13886,41.54602
"152","Clangula hyemalis",-70.16856,41.47244
"153","Clangula hyemalis",-70.22446,41.5694
"154","Clangula hyemalis",-70.08688,41.56611
"155","Clangula hyemalis",-70.08674,41.5631
"156","Clangula hyemalis",-70.03189,41.57399
"157","Clangula hyemalis",-70.14558,41.49395
"158","Clangula hyemalis",-70.38438,41.4095
"159","Clangula hyemalis",-70.11488,41.56824
"160","Clangula hyemalis",-70.17046,41.58133
"161","Clangula hyemalis",-70.08761,41.54651
"162","Clangula hyemalis",-70.17724,41.55345
"163","Clangula hyemalis",-70.4147,41.42929
"164","Clangula hyemalis",-70.0646,41.417
"165","Clangula hyemalis",-70.06566,41.47102
"166","Clangula hyemalis",-70.38608,41.36251
"167","Clangula hyemalis",-70.22587,41.50298
"168","Clangula hyemalis",-70.14528,41.57434
"169","Clangula hyemalis",-70.3587,41.51781
"170","Clangula hyemalis",-70.13939,41.52101
"171","Clangula hyemalis",-70.08429,41.37478
"172","Clangula hyemalis",-70.312,41.52064
"173","Clangula hyemalis",-70.06115,41.54472
"174","Clangula hyemalis",-70.03368,41.53852
"175","Clangula hyemalis",-70.25724,41.35532
"176","Clangula hyemalis",-70.22368,41.5442
"177","Clangula hyemalis",-70.38455,41.49387
"178","Clangula hyemalis",-70.06722,41.47971
"179","Clangula hyemalis",-70.06406,41.44233
"180","Clangula hyemalis",-70.171,41.376
"181","Clangula hyemalis",-70.14481,41.47363
"182","Clangula hyemalis",-70.06696,41.47772
"183","Clangula hyemalis",-70.08966,41.58254
"184","Clangula hyemalis",-70.0626,41.58342
"185","Clangula hyemalis",-70.3362,41.54503
"186","Clangula hyemalis",-70.14117,41.39947
"187","Clangula hyemalis",-70.11644,41.4407
"188","Clangula hyemalis",-70.11466,41.54271
"189","Clangula hyemalis",-70.27242,41.46297
"190","Clangula hyemalis",-70.22368,41.5442
"191","Clangula hyemalis",-70.08942,41.58931
"192","Clangula hyemalis",-70.41664,41.38384
"193","Clangula hyemalis",-70.08452,41.43723
"194","Clangula hyemalis",-70.27632,41.35643
"195","Clangula hyemalis",-70.22535,41.48358
"196","Clangula hyemalis",-70.23145,41.38401
"197","Clangula hyemalis",-70.115,41.54668
"198","Clangula hyemalis",-70.09068,41.5054
"199","Clangula hyemalis",-70.11565,41.40784
"200","Clangula hyemalis",-70.09048,41.48652
"201","Clangula hyemalis",-70.09072,41.5
"202","Clangula hyemalis",-70.38184,41.42147
"203","Clangula hyemalis",-70.2005,41.46782
"204","Clangula hyemalis",-70.25084,41.46428
"205","Clangula hyemalis",-70.30981,41.3617
"206","Clangula hyemalis",-70.18886,41.48847
"207","Clangula hyemalis",-70.28296,41.36956
"208","Clangula hyemalis",-70.061,41.59769
"209","Clangula hyemalis",-70.08548,41.45436
"210","Clangula hyemalis",-70.33499,41.39461
"211","Clangula hyemalis",-70.14555,41.57558
"212","Clangula hyemalis",-70.23058,41.35094
"213","Clangula hyemalis",-70.26908,41.41656
"214","Clangula hyemalis",-70.11767,41.36445
"215","Clangula hyemalis",-70.13963,41.51392
"216","Clangula hyemalis",-70.36028,41.38149
"217","Clangula hyemalis",-70.03356,41.48959
"218","Clangula hyemalis",-70.0904,41.47118
"219","Clangula hyemalis",-70.11528,41.52688
"220","Clangula hyemalis",-70.38232,41.44989
"221","Clangula hyemalis",-70.08847,41.36961
"222","Clangula hyemalis",-70.22881,41.37947
"223","Clangula hyemalis",-70.06012,41.52884
"224","Clangula hyemalis",-70.30769,41.39347
